Time (s),Cell 1 (mV),Cell 2 (mV),Cell 3 (mV),bio (mV)
0.0016,-0.0264076,-60,-60,-60
0.0116,-0.000156347,240,240,240
0.0216,-9.25657e-07,200,200,200
0.0316,-5.48038e-09,-800,-800,-800
0.0355,-7.41363e-10,-200,-200,-200
0.0376,-2.5248e-10,10,10,10
0.0399,-7.76014e-11,-1.5,-1.5,-1.5
0.0431,-1.50323e-11,0.9,0.9,0.9
0.0454,-4.62028e-12,-0.135,-0.135,-0.135
0.0477,-1.42007e-12,0.02025,0.02025,0.02025
0.0498,-4.83623e-13,-0.0010125,-0.0010125,-0.0010125
0.0516,-1.92102e-13,-0.00010125,-0.00010125,-0.00010125
0.0535,-7.24903e-14,-5.0625e-06,-5.0625e-06,-5.0625e-06
0.0554,-2.73545e-14,-2.53125e-07,-2.53125e-07,-2.53125e-07
0.0575,-9.31589e-15,1.26563e-08,1.26563e-08,1.26563e-08
0.0592,-3.89516e-15,1.89844e-09,1.89844e-09,1.89844e-09
0.0608,-1.71436e-15,3.79688e-10,3.79688e-10,3.79688e-10
0.0636,-4.07722e-16,-1.51875e-10,-1.51875e-10,-1.51875e-10
0.0654,-1.61953e-16,-1.51875e-11,-1.51875e-11,-1.51875e-11
0.0671,-6.77159e-17,-2.27813e-12,-2.27813e-12,-2.27813e-12
0.0687,-2.98036e-17,-4.55625e-13,-4.55625e-13,-4.55625e-13
0.0703,-1.31173e-17,-9.1125e-14,-9.1125e-14,-9.1125e-14
0.0729,-3.45668e-18,2.73375e-14,2.73375e-14,2.73375e-14
0.0747,-1.37304e-18,2.73375e-15,2.73375e-15,2.73375e-15
0.0763,-6.04313e-19,5.4675e-16,5.4675e-16,5.4675e-16
0.078,-2.52676e-19,8.20125e-17,8.20125e-17,8.20125e-17
0.0798,-1.00366e-19,8.20125e-18,8.20125e-18,8.20125e-18
0.0817,-3.78736e-20,4.10062e-19,4.10062e-19,4.10062e-19
0.0835,-1.50439e-20,4.10062e-20,4.10062e-20,4.10062e-20
0.0851,-6.62124e-21,8.20125e-21,8.20125e-21,8.20125e-21
0.0868,-2.76848e-21,1.23019e-21,1.23019e-21,1.23019e-21
0.0889,-9.42836e-22,-6.15094e-23,-6.15094e-23,-6.15094e-23
0.0906,-3.94219e-22,-9.22641e-24,-9.22641e-24,-9.22641e-24
0.0923,-1.64831e-22,-1.38396e-24,-1.38396e-24,-1.38396e-24
0.0939,-7.25465e-23,-2.76792e-25,-2.76792e-25,-2.76792e-25
0.0957,-2.88165e-23,-2.76792e-26,-2.76792e-26,-2.76792e-26
0.0977,-1.03303e-23,0,0,0
0.1022,-1.02725e-24,0,0,0
0.1048,-2.70701e-25,0,0,0
0.1064,-1.19143e-25,0,0,0
0.1081,-4.9816e-26,0,0,0
0.1097,-2.19253e-26,0,0,0
0.1115,-8.70906e-27,0,0,0
0.1136,-2.96597e-27,0,0,0
0.1152,-1.3054e-27,0,0,0
0.1169,-5.45815e-28,0,0,0
0.1185,-2.40228e-28,0,0,0
0.1203,-9.5422e-29,0,0,0
0.1226,-2.93286e-29,0,0,0
0.1243,-1.22629e-29,0,0,0
0.1259,-5.39722e-30,0,0,0
0.1277,-2.14385e-30,0,0,0
0.13,-6.58928e-31,0,0,0
0.1319,-2.48649e-31,0,0,0
0.1335,-1.09437e-31,0,0,0
0.1351,-4.81662e-32,0,0,0
0.1372,-1.64035e-32,0,0,0
0.1392,-5.88044e-33,0,0,0
0.1409,-2.45873e-33,0,0,0
0.1427,-9.76643e-34,0,0,0
0.1461,-1.70741e-34,0,0,0
0.1483,-5.52405e-35,0,0,0
0.1502,-2.08452e-35,0,0,0
0.1531,-4.70968e-36,0,0,0
0.155,-1.77721e-36,0,0,0
0.1568,-7.05934e-37,0,0,0
0.1586,-2.80407e-37,0,0,0
0.1606,-1.00522e-37,0,0,0
0.1629,-3.08961e-38,0,0,0
0.1648,-1.16588e-38,0,0,0
0.1668,-4.17951e-39,0,0,0
0.1689,-1.42338e-39,0,0,0
0.1713,-4.15611e-40,0,0,0
0.1732,-1.56832e-40,0,0,0
0.1749,-6.55748e-41,0,0,0
0.1767,-2.60472e-41,0,0,0
0.1787,-9.33757e-42,0,0,0
0.1804,-3.90423e-42,0,0,0
0.1821,-1.63244e-42,0,0,0
0.184,-6.16006e-43,0,0,0
0.1858,-2.44686e-43,0,0,0
0.1883,-6.78735e-44,0,0,0
0.19,-2.83793e-44,0,0,0
0.1918,-1.12727e-44,0,0,0
0.1938,-4.04109e-45,0,0,0
0.1959,-1.37624e-45,0,0,0
0.1977,-5.46662e-46,0,0,0
0.1993,-2.40601e-46,0,0,0
0.2011,-9.557e-47,0,0,0
0.2036,-2.65101e-47,0,0,0
0.2053,-1.10844e-47,0,0,0
0.207,-4.63462e-48,0,0,0
0.2087,-1.93783e-48,0,0,0
0.2106,-7.31247e-49,0,0,0
0.2131,-2.0284e-49,0,0,0
0.2148,-8.48116e-50,0,0,0
0.2165,-3.54615e-50,0,0,0
0.2183,-1.40858e-50,0,0,0
0.2206,-4.32937e-51,0,0,0
0.2224,-1.71969e-51,0,0,0
0.2241,-7.19036e-52,0,0,0
0.226,-2.71331e-52,0,0,0
0.2285,-7.52644e-53,0,0,0
0.2302,-3.14696e-53,0,0,0
0.232,-1.25002e-53,0,0,0
0.234,-4.48113e-54,0,0,0
0.2364,-1.30844e-54,0,0,0
0.2382,-5.19732e-55,0,0,0
0.2409,-1.30112e-55,0,0,0
0.2441,-2.52041e-56,0,0,0
0.2459,-1.00114e-56,0,0,0
0.2477,-3.97669e-57,0,0,0
0.2494,-1.66273e-57,0,0,0
0.2512,-6.60462e-58,0,0,0
0.2537,-1.83205e-58,0,0,0
0.2554,-7.66018e-59,0,0,0
0.2571,-3.20288e-59,0,0,0
0.2591,-1.14819e-59,0,0,0
0.2611,-4.11609e-60,0,0,0
0.263,-1.55322e-60,0,0,0
0.2647,-6.49433e-61,0,0,0
0.2666,-2.45066e-61,0,0,0
0.2691,-6.79787e-62,0,0,0
0.2708,-2.84233e-62,0,0,0
0.2726,-1.12901e-62,0,0,0
0.2746,-4.04736e-63,0,0,0
0.277,-1.18178e-63,0,0,0
0.2787,-4.94128e-64,0,0,0
0.2803,-2.17479e-64,0,0,0
0.2824,-7.40649e-65,0,0,0
0.2849,-2.05448e-65,0,0,0
0.2867,-8.1607e-66,0,0,0
0.2884,-3.41216e-66,0,0,0
0.2902,-1.35536e-66,0,0,0
0.2932,-2.90912e-67,0,0,0
0.295,-1.15554e-67,0,0,0
0.2967,-4.83157e-68,0,0,0
0.2986,-1.82321e-68,0,0,0
0.3011,-5.05739e-69,0,0,0
0.303,-1.90843e-69,0,0,0
0.3047,-7.97952e-70,0,0,0
0.3064,-3.3364e-70,0,0,0
0.3082,-1.32527e-70,0,0,0
0.3103,-4.51334e-71,0,0,0
0.3122,-1.70313e-71,0,0,0
0.314,-6.76506e-72,0,0,0
0.3159,-2.55282e-72,0,0,0
0.3184,-7.08126e-73,0,0,0
0.3201,-2.96082e-73,0,0,0
0.3219,-1.17608e-73,0,0,0
0.3239,-4.21608e-74,0,0,0
0.3264,-1.1695e-74,0,0,0
0.3282,-4.64541e-75,0,0,0
0.3299,-1.94234e-75,0,0,0
0.3318,-7.32949e-76,0,0,0
0.3344,-1.93147e-76,0,0,0
0.3361,-8.07586e-77,0,0,0
0.3378,-3.37668e-77,0,0,0
0.3397,-1.2742e-77,0,0,0
0.342,-3.91635e-78,0,0,0
0.3439,-1.47785e-78,0,0,0
0.3456,-6.17918e-79,0,0,0
0.3476,-2.21515e-79,0,0,0
0.3501,-6.1446e-80,0,0,0
0.352,-2.31869e-80,0,0,0
0.3537,-9.6949e-81,0,0,0
0.3556,-3.6584e-81,0,0,0
0.3581,-1.0148e-81,0,0,0
0.3599,-4.03094e-82,0,0,0
0.3616,-1.68542e-82,0,0,0
0.3637,-5.73989e-83,0,0,0
0.3661,-1.67599e-83,0,0,0
0.3679,-6.65725e-84,0,0,0
0.3696,-2.78353e-84,0,0,0
0.3713,-1.16385e-84,0,0,0
0.3747,-2.0347e-85,0,0,0
0.3765,-8.08212e-86,0,0,0
0.3783,-3.21033e-86,0,0,0
0.3802,-1.21143e-86,0,0,0
0.3828,-3.19236e-87,0,0,0
0.3846,-1.26805e-87,0,0,0
0.3863,-5.30198e-88,0,0,0
0.3884,-1.80565e-88,0,0,0
0.3905,-6.14936e-89,0,0,0
0.3924,-2.32048e-89,0,0,0
0.3941,-9.70241e-90,0,0,0
0.3958,-4.05678e-90,0,0,0
0.3977,-1.53084e-90,0,0,0
0.4001,-4.46988e-91,0,0,0
0.402,-1.68673e-91,0,0,0
0.4039,-6.36492e-92,0,0,0
0.4058,-2.40183e-92,0,0,0
0.4084,-6.32929e-93,0,0,0
0.4102,-2.51409e-93,0,0,0
0.4121,-9.48699e-94,0,0,0
0.4141,-3.40095e-94,0,0,0
0.4166,-9.43389e-95,0,0,0
0.4184,-3.74728e-95,0,0,0
0.4202,-1.48847e-95,0,0,0
0.4234,-2.88334e-96,0,0,0
0.4252,-1.1453e-96,0,0,0
0.427,-4.54931e-97,0,0,0
0.4288,-1.80705e-97,0,0,0
0.4311,-5.5541e-98,0,0,0
0.4331,-1.99107e-98,0,0,0
0.435,-7.51336e-99,0,0,0
0.4373,-2.30928e-99,0,0,0
0.4398,-6.40571e-100,0,0,0
0.4417,-2.41722e-100,0,0,0
0.4436,-9.12146e-101,0,0,0
0.4457,-3.10642e-101,0,0,0
0.4483,-8.18604e-102,0,0,0
0.4501,-3.25161e-102,0,0,0
0.452,-1.22701e-102,0,0,0
0.454,-4.39865e-103,0,0,0
0.4562,-1.42311e-103,0,0,0
0.4581,-5.37016e-104,0,0,0
0.4603,-1.73743e-104,0,0,0
0.4635,-3.36559e-105,0,0,0
0.4653,-1.33686e-105,0,0,0
0.4671,-5.31021e-106,0,0,0
0.4689,-2.10929e-106,0,0,0
0.4708,-7.95948e-107,0,0,0
0.4733,-2.20788e-107,0,0,0
0.4751,-8.77001e-108,0,0,0
0.477,-3.30939e-108,0,0,0
0.4789,-1.24881e-108,0,0,0
0.481,-4.25297e-109,0,0,0
0.4829,-1.60487e-109,0,0,0
0.4848,-6.05605e-110,0,0,0
0.4867,-2.28527e-110,0,0,0
0.4893,-6.02215e-111,0,0,0
0.4911,-2.39209e-111,0,0,0
0.493,-9.02662e-112,0,0,0
0.4951,-3.07412e-112,0,0,0
0.4977,-8.10093e-113,0,0,0
0.4995,-3.2178e-113,0,0,0
0.5013,-1.27816e-113,0,0,0
0.5044,-2.60625e-114,0,0,0
0.5063,-9.83478e-115,0,0,0
0.5081,-3.90652e-115,0,0,0
0.5101,-1.40043e-115,0,0,0
0.5126,-3.88465e-116,0,0,0
0.5144,-1.54304e-116,0,0,0
0.5161,-6.45176e-117,0,0,0
0.5182,-2.19722e-117,0,0,0
0.5204,-7.10875e-118,0,0,0
0.5223,-2.68251e-118,0,0,0
0.5241,-1.06553e-118,0,0,0
0.5259,-4.23245e-119,0,0,0
0.5279,-1.51727e-119,0,0,0
0.5304,-4.20876e-120,0,0,0
0.5323,-1.58819e-120,0,0,0
0.5344,-5.40876e-121,0,0,0
0.5369,-1.50033e-121,0,0,0
0.5388,-5.66157e-122,0,0,0
0.5405,-2.36722e-122,0,0,0
0.5425,-8.48614e-123,0,0,0
0.5448,-2.60827e-123,0,0,0
0.5466,-1.03604e-123,0,0,0
0.5484,-4.11531e-124,0,0,0
0.5502,-1.63466e-124,0,0,0
0.5533,-3.33318e-125,0,0,0
0.5552,-1.25779e-125,0,0,0
0.557,-4.99612e-126,0,0,0
0.559,-1.79104e-126,0,0,0
0.5614,-5.22963e-127,0,0,0
0.5634,-1.87475e-127,0,0,0
0.5652,-7.44678e-128,0,0,0
0.5673,-2.53609e-128,0,0,0
0.5695,-8.20509e-129,0,0,0
0.5714,-3.09622e-129,0,0,0
0.5733,-1.16837e-129,0,0,0
0.5753,-4.18844e-130,0,0,0
0.5778,-1.16183e-130,0,0,0
0.5797,-4.38421e-131,0,0,0
0.5815,-1.74147e-131,0,0,0
0.5848,-3.20476e-132,0,0,0
0.5867,-1.20933e-132,0,0,0
0.5886,-4.56344e-133,0,0,0
0.5904,-1.81266e-133,0,0,0
0.5935,-3.69614e-134,0,0,0
0.5954,-1.39475e-134,0,0,0
0.5973,-5.26315e-135,0,0,0
0.5993,-1.88676e-135,0,0,0
0.6015,-6.10432e-136,0,0,0
0.6034,-2.30349e-136,0,0,0
0.6052,-9.14978e-137,0,0,0
0.6071,-3.4527e-137,0,0,0
0.6091,-1.23774e-137,0,0,0
0.6113,-4.00452e-138,0,0,0
0.6132,-1.51112e-138,0,0,0
0.6152,-5.41715e-139,0,0,0
0.6173,-1.84487e-139,0,0,0
0.6199,-4.86161e-140,0,0,0
0.6217,-1.9311e-140,0,0,0
0.6238,-6.57659e-141,0,0,0
0.6263,-1.82428e-141,0,0,0
0.6283,-6.53978e-142,0,0,0
0.6301,-2.5977e-142,0,0,0
0.633,-5.86912e-143,0,0,0
0.6349,-2.21473e-143,0,0,0
0.6368,-8.35737e-144,0,0,0
0.6387,-3.15368e-144,0,0,0
0.6407,-1.13055e-144,0,0,0
0.6434,-2.83027e-145,0,0,0
0.6454,-1.01461e-145,0,0,0
0.6473,-3.82867e-146,0,0,0
0.6494,-1.3039e-146,0,0,0
0.6516,-4.21855e-147,0,0,0
0.6536,-1.51229e-147,0,0,0
0.6555,-5.70669e-148,0,0,0
0.6576,-1.94348e-148,0,0,0
0.6601,-5.39101e-149,0,0,0
0.6621,-1.9326e-149,0,0,0
0.664,-7.29273e-150,0,0,0
0.666,-2.61434e-150,0,0,0
0.6686,-6.88932e-151,0,0,0
0.6704,-2.73654e-151,0,0,0
0.6724,-9.81009e-152,0,0,0
0.6745,-3.34094e-152,0,0,0
0.677,-9.26742e-153,0,0,0
0.6789,-3.4971e-153,0,0,0
0.6809,-1.25366e-153,0,0,0
0.6835,-3.30365e-154,0,0,0
0.6854,-1.24664e-154,0,0,0
0.6873,-4.70425e-155,0,0,0
0.6894,-1.60209e-155,0,0,0
0.6918,-4.67792e-156,0,0,0
0.6937,-1.76523e-156,0,0,0
0.6956,-6.66116e-157,0,0,0
0.6977,-2.26853e-157,0,0,0
0.7002,-6.29268e-158,0,0,0
0.7022,-2.25584e-158,0,0,0
0.7041,-8.51248e-159,0,0,0
0.7062,-2.89902e-159,0,0,0
0.7088,-7.63951e-160,0,0,0
0.7107,-2.8828e-160,0,0,0
0.7127,-1.03344e-160,0,0,0
0.7148,-3.51951e-161,0,0,0
0.7174,-9.27461e-162,0,0,0
0.7193,-3.49981e-162,0,0,0
0.7211,-1.39017e-162,0,0,0
0.7242,-2.83466e-163,0,0,0
0.7262,-1.01619e-163,0,0,0
0.7281,-3.83461e-164,0,0,0
0.7302,-1.30592e-164,0,0,0
0.7328,-3.44137e-165,0,0,0
0.7347,-1.29861e-165,0,0,0
0.7365,-5.15827e-166,0,0,0
0.7386,-1.75671e-166,0,0,0
0.7408,-5.68354e-167,0,0,0
0.7428,-2.03747e-167,0,0,0
0.7447,-7.68847e-168,0,0,0
0.7468,-2.6184e-168,0,0,0
0.7494,-6.9e-169,0,0,0
0.7513,-2.60374e-169,0,0,0
0.7533,-9.33405e-170,0,0,0
0.7554,-3.17882e-170,0,0,0
0.758,-8.37682e-171,0,0,0
0.7599,-3.16102e-171,0,0,0
0.7618,-1.19282e-171,0,0,0
0.765,-2.31064e-172,0,0,0
0.767,-8.28331e-173,0,0,0
0.7689,-3.12574e-173,0,0,0
0.7709,-1.12053e-173,0,0,0
0.7735,-2.95283e-174,0,0,0
0.7755,-1.05855e-174,0,0,0
0.7774,-3.99447e-175,0,0,0
0.7795,-1.36036e-175,0,0,0
0.7816,-4.63287e-176,0,0,0
0.7836,-1.66082e-176,0,0,0
0.7855,-6.26716e-177,0,0,0
0.7877,-2.02764e-177,0,0,0
0.7903,-5.34323e-178,0,0,0
0.7923,-1.91547e-178,0,0,0
0.7943,-6.8667e-179,0,0,0
0.7964,-2.33853e-179,0,0,0
0.7991,-5.85438e-180,0,0,0
0.801,-2.20917e-180,0,0,0
0.8043,-4.06545e-181,0,0,0
0.8063,-1.45741e-181,0,0,0
0.8083,-5.2246e-182,0,0,0
0.8102,-1.97152e-182,0,0,0
0.8132,-4.23165e-183,0,0,0
0.8152,-1.51699e-183,0,0,0
0.8172,-5.43818e-184,0,0,0
0.8191,-2.05212e-184,0,0,0
0.8211,-7.35655e-185,0,0,0
0.8235,-2.14803e-185,0,0,0
0.8254,-8.10568e-186,0,0,0
0.8276,-2.62246e-186,0,0,0
0.8299,-8.06031e-187,0,0,0
0.8319,-2.88951e-187,0,0,0
0.8339,-1.03585e-187,0,0,0
0.8361,-3.35131e-188,0,0,0
0.8388,-8.38982e-189,0,0,0
0.8407,-3.16593e-189,0,0,0
0.8427,-1.13494e-189,0,0,0
0.8449,-3.67191e-190,0,0,0
0.8475,-9.67623e-191,0,0,0
0.8495,-3.46879e-191,0,0,0
0.8515,-1.24351e-191,0,0,0
0.8547,-2.40883e-192,0,0,0
0.8567,-8.63531e-193,0,0,0
0.8587,-3.09564e-193,0,0,0
0.8608,-1.05425e-193,0,0,0
0.8635,-2.63926e-194,0,0,0
0.8655,-9.46139e-195,0,0,0
0.8675,-3.39178e-195,0,0,0
0.8696,-1.15511e-195,0,0,0
0.8718,-3.73716e-196,0,0,0
0.8739,-1.27273e-196,0,0,0
0.8759,-4.56257e-197,0,0,0
0.8781,-1.47615e-197,0,0,0
0.8807,-3.88994e-198,0,0,0
0.8827,-1.39449e-198,0,0,0
0.8849,-4.51164e-199,0,0,0
0.8876,-1.12946e-199,0,0,0
0.8897,-3.84652e-200,0,0,0
0.8916,-1.4515e-200,0,0,0
0.8949,-2.67113e-201,0,0,0
0.8969,-9.57562e-202,0,0,0
0.8989,-3.43273e-202,0,0,0
0.9008,-1.29535e-202,0,0,0
0.9039,-2.64131e-203,0,0,0
0.9059,-9.46873e-204,0,0,0
0.9079,-3.39441e-204,0,0,0
0.9101,-1.0982e-204,0,0,0
0.9125,-3.20663e-205,0,0,0
0.9145,-1.14953e-205,0,0,0
0.9164,-4.33781e-206,0,0,0
0.9186,-1.40343e-206,0,0,0
0.9209,-4.31353e-207,0,0,0
0.9235,-1.1367e-207,0,0,0
0.9263,-2.70338e-208,0,0,0
0.9291,-6.42936e-209,0,0,0
0.9311,-2.30484e-209,0,0,0
0.9332,-7.84939e-210,0,0,0
0.9355,-2.41256e-210,0,0,0
0.9382,-6.03971e-211,0,0,0
0.9402,-2.16515e-211,0,0,0
0.9433,-4.41489e-212,0,0,0
0.9453,-1.58268e-212,0,0,0
0.9473,-5.67367e-213,0,0,0
0.9493,-2.03393e-213,0,0,0
0.9515,-6.58045e-214,0,0,0
0.9542,-1.64738e-214,0,0,0
0.9562,-5.90561e-215,0,0,0
0.9584,-1.91066e-215,0,0,0
0.9606,-6.18164e-216,0,0,0
0.9627,-2.10523e-216,0,0,0
0.9646,-7.94416e-217,0,0,0
0.9666,-2.84787e-217,0,0,0
0.9692,-7.50471e-218,0,0,0
0.9712,-2.69033e-218,0,0,0
0.9733,-9.16224e-219,0,0,0
0.9754,-3.12031e-219,0,0,0
0.978,-8.22263e-220,0,0,0
0.98,-2.9477e-220,0,0,0
0.9821,-1.00387e-220,0,0,0
0.9843,-3.24787e-221,0,0,0
0.9871,-7.7243e-222,0,0,0
0.9891,-2.76905e-222,0,0,0
0.9911,-9.92666e-223,0,0,0
0.9939,-2.36083e-223,0,0,0
0.996,-8.04007e-224,0,0,0
0.9982,-2.60123e-224,0,0,0
1.0005,-7.99507e-225,0,0,0
